unitid,Other,Female,Male,Asian,American Indian,Black,Hispanic,White,Unknown
111920,72,72,72,36,36,36,36,36,36
111939,72,72,72,36,36,36,36,36,36
111948,144,144,144,72,72,72,72,72,72
111966,144,144,144,72,72,72,72,72,72
112075,144,144,144,72,72,72,72,72,72
112084,144,144,144,72,72,72,72,72,72
112172,72,72,72,36,36,36,36,36,36
112190,72,72,72,36,36,36,36,36,36
112260,144,144,144,72,72,72,72,72,72
112385,72,72,72,36,36,36,36,36,36
112394,144,144,144,72,72,72,72,72,72
112446,144,144,144,72,72,72,72,72,72
112561,72,72,72,36,36,36,36,36,36
112570,144,144,144,72,72,72,72,72,72
112686,72,72,72,36,36,36,36,36,36
112826,72,72,72,36,36,36,36,36,36
113096,72,72,72,36,36,36,36,36,36
113111,72,72,72,36,36,36,36,36,36
113193,72,72,72,36,36,36,36,36,36
113218,72,72,72,36,36,36,36,36,36
113236,72,72,72,36,36,36,36,36,36
113333,72,72,72,36,36,36,36,36,36
113573,72,72,72,36,36,36,36,36,36
113582,144,144,144,72,72,72,72,72,72
113607,108,108,108,54,54,54,54,54,54
113634,72,72,72,36,36,36,36,36,36
113698,144,144,144,72,72,72,72,72,72
113856,72,72,72,36,36,36,36,36,36
113980,72,72,72,36,36,36,36,36,36
114123,72,72,72,36,36,36,36,36,36
114266,72,72,72,36,36,36,36,36,36
114354,144,144,144,72,72,72,72,72,72
114390,36,36,36,18,18,18,18,18,18
114415,18,18,18,9,9,9,9,9,9
114433,72,72,72,36,36,36,36,36,36
114716,72,72,72,36,36,36,36,36,36
114789,72,72,72,36,36,36,36,36,36
114813,144,144,144,72,72,72,72,72,72
114859,72,72,72,36,36,36,36,36,36
114938,72,72,72,36,36,36,36,36,36
115001,72,72,72,36,36,36,36,36,36
115126,72,72,72,36,36,36,36,36,36
115296,72,72,72,36,36,36,36,36,36
115393,72,72,72,36,36,36,36,36,36
115409,144,144,144,72,72,72,72,72,72
115454,72,72,72,36,36,36,36,36,36
115472,72,72,72,36,36,36,36,36,36
115490,72,72,72,36,36,36,36,36,36
115515,72,72,72,36,36,36,36,36,36
115533,72,72,72,36,36,36,36,36,36
115728,144,144,144,72,72,72,72,72,72
115755,144,144,144,72,72,72,72,72,72
115773,144,144,144,72,72,72,72,72,72
115861,72,72,72,36,36,36,36,36,36
116040,108,108,108,54,54,54,54,54,54
116439,72,72,72,36,36,36,36,36,36
116466,144,144,144,72,72,72,72,72,72
116475,144,144,144,72,72,72,72,72,72
116484,144,144,144,72,72,72,72,72,72
116846,144,144,144,72,72,72,72,72,72
117052,72,72,72,36,36,36,36,36,36
117104,144,144,144,72,72,72,72,72,72
117113,144,144,144,72,72,72,72,72,72
117140,144,144,144,72,72,72,72,72,72
117168,144,144,144,72,72,72,72,72,72
117195,72,72,72,36,36,36,36,36,36
117247,72,72,72,36,36,36,36,36,36
117274,72,72,72,36,36,36,36,36,36
117557,144,144,144,72,72,72,72,72,72
117627,144,144,144,72,72,72,72,72,72
117645,72,72,72,36,36,36,36,36,36
117690,72,72,72,36,36,36,36,36,36
117706,72,72,72,36,36,36,36,36,36
117715,72,72,72,36,36,36,36,36,36
117724,72,72,72,36,36,36,36,36,36
117733,72,72,72,36,36,36,36,36,36
117751,144,144,144,72,72,72,72,72,72
117788,72,72,72,36,36,36,36,36,36
117867,72,72,72,36,36,36,36,36,36
117894,72,72,72,36,36,36,36,36,36
117928,144,144,144,72,72,72,72,72,72
117946,144,144,144,72,72,72,72,72,72
118198,72,72,72,36,36,36,36,36,36
118259,72,72,72,36,36,36,36,36,36
118277,72,72,72,36,36,36,36,36,36
118286,72,72,72,36,36,36,36,36,36
118347,72,72,72,36,36,36,36,36,36
118541,144,144,144,72,72,72,72,72,72
118684,72,72,72,36,36,36,36,36,36
118693,144,144,144,72,72,72,72,72,72
118718,72,72,72,36,36,36,36,36,36
118772,72,72,72,36,36,36,36,36,36
118888,144,144,144,72,72,72,72,72,72
118912,72,72,72,36,36,36,36,36,36
118930,72,72,72,36,36,36,36,36,36
118976,72,72,72,36,36,36,36,36,36
119067,72,72,72,36,36,36,36,36,36
119137,72,72,72,36,36,36,36,36,36
119164,72,72,72,36,36,36,36,36,36
119173,144,144,144,72,72,72,72,72,72
119216,72,72,72,36,36,36,36,36,36
119270,144,144,144,72,72,72,72,72,72
119331,72,72,72,36,36,36,36,36,36
119359,72,72,72,36,36,36,36,36,36
119456,54,54,54,27,27,27,27,27,27
119508,72,72,72,36,36,36,36,36,36
119544,144,144,144,72,72,72,72,72,72
119605,144,144,144,72,72,72,72,72,72
119775,144,144,144,72,72,72,72,72,72
120166,108,108,108,54,54,54,54,54,54
120184,144,144,144,72,72,72,72,72,72
120254,144,144,144,72,72,72,72,72,72
120290,72,72,72,36,36,36,36,36,36
120342,72,72,72,36,36,36,36,36,36
120403,144,144,144,72,72,72,72,72,72
120421,72,72,72,36,36,36,36,36,36
120537,144,144,144,72,72,72,72,72,72
120661,72,72,72,36,36,36,36,36,36
120865,144,144,144,72,72,72,72,72,72
120883,144,144,144,72,72,72,72,72,72
120953,72,72,72,36,36,36,36,36,36
120971,72,72,72,36,36,36,36,36,36
121044,72,72,72,36,36,36,36,36,36
121071,108,108,108,54,54,54,54,54,54
121150,144,144,144,72,72,72,72,72,72
121257,144,144,144,72,72,72,72,72,72
121275,144,144,144,72,72,72,72,72,72
121309,144,144,144,72,72,72,72,72,72
121345,144,144,144,72,72,72,72,72,72
121363,72,72,72,36,36,36,36,36,36
121381,144,144,144,72,72,72,72,72,72
121619,72,72,72,36,36,36,36,36,36
121691,144,144,144,72,72,72,72,72,72
121707,72,72,72,36,36,36,36,36,36
121886,72,72,72,36,36,36,36,36,36
121901,72,72,72,36,36,36,36,36,36
122180,72,72,72,36,36,36,36,36,36
122205,72,72,72,36,36,36,36,36,36
122296,108,108,108,54,54,54,54,54,54
122339,72,72,72,36,36,36,36,36,36
122366,72,72,72,36,36,36,36,36,36
122375,72,72,72,36,36,36,36,36,36
122384,72,72,72,36,36,36,36,36,36
122409,144,144,144,72,72,72,72,72,72
122436,144,144,144,72,72,72,72,72,72
122454,144,144,144,72,72,72,72,72,72
122506,144,144,144,72,72,72,72,72,72
122597,144,144,144,72,72,72,72,72,72
122612,144,144,144,72,72,72,72,72,72
122658,72,72,72,36,36,36,36,36,36
122685,72,72,72,36,36,36,36,36,36
122694,72,72,72,36,36,36,36,36,36
122728,144,144,144,72,72,72,72,72,72
122746,72,72,72,36,36,36,36,36,36
122755,144,144,144,72,72,72,72,72,72
122791,72,72,72,36,36,36,36,36,36
122834,90,90,90,45,45,45,45,45,45
122843,144,144,144,72,72,72,72,72,72
122852,90,90,90,45,45,45,45,45,45
122889,72,72,72,36,36,36,36,36,36
122931,144,144,144,72,72,72,72,72,72
122977,72,72,72,36,36,36,36,36,36
123013,72,72,72,36,36,36,36,36,36
123165,144,144,144,72,72,72,72,72,72
123208,72,72,72,36,36,36,36,36,36
123217,72,72,72,36,36,36,36,36,36
123299,72,72,72,36,36,36,36,36,36
123341,72,72,72,36,36,36,36,36,36
123457,144,144,144,72,72,72,72,72,72
123484,72,72,72,36,36,36,36,36,36
123509,72,72,72,36,36,36,36,36,36
123527,72,72,72,36,36,36,36,36,36
123554,144,144,144,72,72,72,72,72,72
123563,72,72,72,36,36,36,36,36,36
123572,144,144,144,72,72,72,72,72,72
123642,72,72,72,36,36,36,36,36,36
123651,144,144,144,72,72,72,72,72,72
123679,72,72,72,36,36,36,36,36,36
123800,72,72,72,36,36,36,36,36,36
123952,144,144,144,72,72,72,72,72,72
123961,144,144,144,72,72,72,72,72,72
124113,72,72,72,36,36,36,36,36,36
124292,144,144,144,72,72,72,72,72,72
124487,144,144,144,72,72,72,72,72,72
124681,72,72,72,36,36,36,36,36,36
124706,72,72,72,36,36,36,36,36,36
124937,72,72,72,36,36,36,36,36,36
125028,72,72,72,36,36,36,36,36,36
125091,72,72,72,36,36,36,36,36,36
125170,72,72,72,36,36,36,36,36,36
125231,36,36,36,18,18,18,18,18,18
125462,72,72,72,36,36,36,36,36,36
125471,72,72,72,36,36,36,36,36,36
125499,72,72,72,36,36,36,36,36,36
125532,72,72,72,36,36,36,36,36,36
125727,144,144,144,72,72,72,72,72,72
125763,144,144,144,72,72,72,72,72,72
125897,144,144,144,72,72,72,72,72,72
126076,144,144,144,72,72,72,72,72,72
126119,72,72,72,36,36,36,36,36,36
126182,144,144,144,72,72,72,72,72,72
126207,72,72,72,36,36,36,36,36,36
126289,72,72,72,36,36,36,36,36,36
126359,72,72,72,36,36,36,36,36,36
126401,72,72,72,36,36,36,36,36,36
126410,54,54,54,27,27,27,27,27,27
126562,144,144,144,72,72,72,72,72,72
126580,144,144,144,72,72,72,72,72,72
126605,72,72,72,36,36,36,36,36,36
126614,144,144,144,72,72,72,72,72,72
126669,144,144,144,72,72,72,72,72,72
126678,144,144,144,72,72,72,72,72,72
126687,72,72,72,36,36,36,36,36,36
